Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Name-additional
33,P,Octavio Dotel,37,29,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,doteloc01
34,P,Eduardo Sánchez,22,25,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,sanched01
35,P,Ryan Franklin,38,19,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,frankry01
36,P,Jason Motte,29,74,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,motteja01
37,P,Bryan Augenstein,24,5,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,459,1,0,0,0,0,0,augenbr01
38,P,Fernando Salas,26,63,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,salasfe01
39,P,Maikel Cleto,22,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,cletoma01
40,P,Trever Miller,38,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,milletr02
41,P,Arthur Rhodes*,41,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,rhodear01
42,P,Raúl Valdés*,33,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,valdera02
43,P,Miguel Batista,40,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,batismi01
44,P,P.J. Walters,26,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,waltepj01
45,P,Brian Tallet*,33,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,tallebr01
46,P,Marc Rzepczynski*,25,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,rzepcma01
